R32X00001	After Burner Complete (Europe)
R32X00002	After Burner Complete ~ After Burner (Japan, USA)
R32X00003	Amazing Spider-Man, The - Web of Fire (USA)
R32X00004	BC Racers (USA)
R32X00005	Blackthorne (USA)
R32X00006	Brutal - Above the Claw (USA)
R32X00007	Chaotix ~ Knuckles' Chaotix (Japan, USA)
R32X00008	ClayFighter 2 (USA) (Proto) (1995-04-28)
R32X00009	Cosmic Carnage (Europe)
R32X00010	Cosmic Carnage (Japan, USA) (Beta) (1994-09-06)
R32X00011	Cosmic Carnage (Japan, USA) (Beta) (1994-09-21)
R32X00012	Cosmic Carnage (Japan, USA) (Beta) (1994-09-26)
R32X00013	Cosmic Carnage (Japan, USA) (Beta) (1994-09-28)
R32X00014	Cosmic Carnage (Japan, USA) (Beta) (1994-10-04)
R32X00015	Cosmic Carnage (Japan, USA) (Beta) (1994-10-05)
R32X00016	Cosmic Carnage (Japan, USA) (Beta) (1994-10-07)
R32X00017	Cosmic Carnage (Japan, USA) (Beta) (1994-10-11)
R32X00018	Cyber Brawl ~ Cosmic Carnage (Japan, USA)
R32X00019	Darxide (Europe) (En,Fr,De,Es)
R32X00020	Doom (Europe)
R32X00021	Doom (Europe) (Beta) (1994-10-02)
R32X00022	Doom (Japan, USA)
R32X00023	Doom (Japan, USA) (Beta) (1994-09-06)
R32X00024	Doom (Japan, USA) (Beta) (1994-09-09)
R32X00025	Doom (Japan, USA) (Beta) (1994-09-14)
R32X00026	Doom (Japan, USA) (Beta) (1994-09-16)
R32X00027	Doom (Japan, USA) (Beta) (1994-09-21)
R32X00028	Doom (Japan, USA) (Beta) (1994-09-23)
R32X00029	Doom (Japan, USA) (Beta) (1994-09-25)
R32X00030	Doom (Japan, USA) (Beta) (1994-09-27)
R32X00031	Doom (Japan, USA) (Beta) (1994-12-01)
R32X00032	Doom RR (Japan, USA) (Beta) (1995-02-15)
R32X00033	Doom RR (Japan, USA) (Beta) (1995-02-21)
R32X00034	Doom RR (Japan, USA) (Beta) (1995-03-07)
R32X00035	Ecco the Dolphin (USA) (Demo) (Developer Cart)
R32X00036	FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)
R32X00037	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Europe)
R32X00038	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Europe) (Beta) (1994-12-14)
R32X00039	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Europe) (Beta) (1994-12-21)
R32X00040	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA)
R32X00041	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-07-06)
R32X00042	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-10-11)
R32X00043	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-10-17)
R32X00044	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-10-18)
R32X00045	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-10-24)
R32X00046	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-10-26)
R32X00047	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-01)
R32X00048	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-03)
R32X00049	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-05)
R32X00050	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-07)
R32X00051	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-08)
R32X00052	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-09)
R32X00053	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-16)
R32X00054	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-18)
R32X00055	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-19)
R32X00056	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-19) (Alt1)
R32X00057	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-21)
R32X00058	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-22)
R32X00059	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-22) (Alt1)
R32X00060	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-23)
R32X00061	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-26)
R32X00062	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-27)
R32X00063	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-28)
R32X00064	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-28) (Alt1)
R32X00065	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-29)
R32X00066	Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (Beta) (1994-11-30)
