RBGO00001	2nd Space (Asia) (Unl)
RBGO00002	4 in 1 (Europe) (4B-002) (Unl)
RBGO00003	4-in-1 Fun Pak (Japan)
RBGO00004	4-in-1 Fun Pak (USA, Europe)
RBGO00005	4-in-1 Fun Pak Volume II (USA, Europe)
RBGO00006	A-Force (Asia) (Unl)
RBGO00007	A-mazing Tater (USA)
RBGO00008	Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)
RBGO00009	Addams Family, The (Europe) (En,Fr,De)
RBGO00010	Addams Family, The (Japan)
RBGO00011	Addams Family, The (USA)
RBGO00012	Adventure Island (USA, Europe)
RBGO00013	Adventure Island II - Aliens in Paradise (USA, Europe)
RBGO00014	Adventures of Lolo (Europe) (SGB Enhanced)
RBGO00015	Adventures of Lolo (Europe)
RBGO00016	Adventures of Pinocchio, The (USA) (Proto)
RBGO00017	Adventures of Rocky and Bullwinkle and Friends, The (USA)
RBGO00018	Adventures of Star Saver, The (USA, Europe)
RBGO00019	Aero Star (Japan)
RBGO00020	Aerostar (USA, Europe)
RBGO00021	After Burst (Japan)
RBGO00022	Agro Soar (Australia)
RBGO00023	Aladdin (Europe) (SGB Enhanced)
RBGO00024	Aladdin (USA) (SGB Enhanced)
RBGO00025	Aladdin (USA)
RBGO00026	Alfred Chicken (Europe)
RBGO00027	Alfred Chicken (Japan) (SGB Enhanced)
RBGO00028	Alfred Chicken (USA)
RBGO00029	Alien 3 (Japan)
RBGO00030	Alien 3 (USA, Europe)
RBGO00031	Alien Olympics (Europe)
RBGO00032	Alien vs Predator - The Last of His Clan (USA)
RBGO00033	All-Star Baseball 99 (USA)
RBGO00034	Alleyway (World)
RBGO00035	Altered Space - A 3-D Alien Adventure (Europe)
RBGO00036	Altered Space - A 3-D Alien Adventure (Japan)
RBGO00037	Altered Space - A 3-D Alien Adventure (USA)
RBGO00038	Amazing Penguin (USA, Europe)
RBGO00039	Amazing Spider-Man, The (USA, Europe)
RBGO00040	Amida (Japan)
RBGO00041	Animaniacs (Europe) (SGB Enhanced)
RBGO00042	Animaniacs (USA) (SGB Enhanced)
RBGO00043	Animaniacs (USA)
RBGO00044	Another Bible (Japan) (Translated En)
RBGO00045	Ant Soldiers (Asia) (Unl)
RBGO00046	Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe)
RBGO00047	Arcade Classic No. 2 - Centipede & Millipede (USA, Europe)
RBGO00048	Arcade Classic No. 3 - Galaga & Galaxian (USA)
RBGO00049	Arcade Classic No. 4 - Defender & Joust (USA, Europe)
RBGO00050	Arcade Classics - Battlezone & Super Breakout (USA, Europe)
RBGO00051	Aretha (Japan)
RBGO00052	Aretha II (Japan)
RBGO00053	Aretha III (Japan)
RBGO00054	Artic Zone (Asia) (Unl)
RBGO00055	Asmik-kun World 2 (Japan)
RBGO00056	Asterix (Europe) (En,Fr,De,Es,It)
RBGO00057	Asterix (Europe)
RBGO00058	Asterix & Obelix (Europe)
RBGO00059	Asteroids (USA, Europe)
RBGO00060	Astro Rabby (Japan)
RBGO00061	Atomic Punk (USA)
RBGO00062	Attack of the Killer Tomatoes (Japan)
RBGO00063	Attack of the Killer Tomatoes (USA, Europe)
RBGO00064	Avenging Spirit (USA, Europe)
RBGO00065	Baby T-Rex (Europe)
RBGO00066	Balloon Kid (USA, Europe)
RBGO00067	Bamse (Sweden)
RBGO00068	Banishing Racer (Japan)
RBGO00069	Barbie - Game Girl (USA, Europe)
RBGO00070	Bart Simpson's Escape from Camp Deadly (USA, Europe)
RBGO00071	Baseball (World)
RBGO00072	Bases Loaded (USA)
RBGO00073	Batman - Return of the Joker (Japan)
RBGO00074	Batman - Return of the Joker (USA, Europe)
RBGO00075	Batman - The Animated Series (USA, Europe)
RBGO00076	Batman - The Video Game (World)
RBGO00077	Batman Forever (Japan)
RBGO00078	Batman Forever (USA, Europe)
RBGO00079	Battle Arena Toshinden (Europe) (SGB Enhanced)
RBGO00080	Battle Arena Toshinden (USA) (SGB Enhanced)
RBGO00081	Battle Arena Toshinden (USA)
