RN6400001	007 - GoldenEye (USA)
RN6400002	007 - The World Is Not Enough (Europe) (En,Fr,De)
RN6400003	007 - The World Is Not Enough (USA) (Beta)
RN6400004	007 - The World Is Not Enough (USA)
RN6400005	1080 Snowboarding (USA)
RN6400006	1080 TenEighty Snowboarding (Europe) (En,Ja,Fr,De)
RN6400007	40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)
RN6400008	AeroFighters Assault (Europe) (En,Fr,De)
RN6400009	AeroFighters Assault (USA)
RN6400010	AeroGauge (Europe) (En,Fr,De)
RN6400011	AeroGauge (USA)
RN6400012	Aidyn Chronicles - The First Mage (Europe)
RN6400013	Aidyn Chronicles - The First Mage (USA) (Rev 1)
RN6400014	Aidyn Chronicles - The First Mage (USA)
RN6400015	Air Boarder 64 (Europe)
RN6400016	Airboarder 64 (Europe)
RN6400017	All Star Tennis '99 (Europe) (En,Fr,De,Es,It)
RN6400018	All Star Tennis '99 (USA)
RN6400019	All Star Tennis 99 (USA)
RN6400020	All-Star Baseball '99 (USA)
RN6400021	All-Star Baseball 2000 (Europe)
RN6400022	All-Star Baseball 2000 (USA)
RN6400023	All-Star Baseball 2001 (USA)
RN6400024	All-Star Baseball 99 (Europe)
RN6400025	All-Star Baseball 99 (USA)
RN6400026	Armorines - Project S.W.A.R.M. (Europe)
RN6400027	Armorines - Project S.W.A.R.M. (Germany)
RN6400028	Armorines - Project S.W.A.R.M. (USA)
RN6400029	Army Men - Air Combat (USA)
RN6400030	Army Men - Sarge's Heroes (Europe) (En,Fr,De)
RN6400031	Army Men - Sarge's Heroes (USA)
RN6400032	Army Men - Sarge's Heroes 2 (USA)
RN6400033	Asteroids Hyper 64 (USA)
RN6400034	Automobili Lamborghini (Europe)
RN6400035	Automobili Lamborghini (USA)
RN6400036	Banjo-Kazooie (Europe) (En,Fr,De)
RN6400037	Banjo-Kazooie (USA) (Rev 1)
RN6400038	Banjo-Kazooie (USA)
RN6400039	Banjo-Tooie (Australia)
RN6400040	Banjo-Tooie (Europe) (En,Fr,De,Es)
RN6400041	Banjo-Tooie (USA)
RN6400042	Bassmasters 2000 (USA)
RN6400043	Batman Beyond - Return of the Joker (USA)
RN6400044	Batman of the Future - Return of the Joker (Europe) (En,Fr,De)
RN6400045	BattleTanx - Global Assault (Europe) (En,Fr,De)
RN6400046	BattleTanx - Global Assault (USA)
RN6400047	BattleTanx (USA)
RN6400048	Battlezone - Rise of the Black Dogs (USA)
RN6400049	Beetle Adventure Racing! (Europe) (En,Fr,De)
RN6400050	Beetle Adventure Racing! (USA) (En,Fr,De)
RN6400051	Beetle Adventure Racing! (USA)
RN6400052	Big Mountain 2000 (USA)
RN6400053	Bio F.R.E.A.K.S. (Europe)
RN6400054	Bio F.R.E.A.K.S. (USA)
RN6400055	Blast Corps (Europe) (En,De)
RN6400056	Blast Corps (USA) (Rev 1)
RN6400057	Blast Corps (USA)
RN6400058	Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)
RN6400059	Blues Brothers 2000 (USA)
RN6400060	Body Harvest (Europe) (En,Fr,De)
RN6400061	Body Harvest (USA)
RN6400062	Bomberman 64 - The Second Attack! (USA)
RN6400063	Bomberman 64 (Europe)
RN6400064	Bomberman 64 (USA)
RN6400065	Bomberman Hero (Europe)
RN6400066	Bomberman Hero (USA)
