RNES00001	10-Yard Fight (USA, Europe)
RNES00002	1942 (Japan, USA)
RNES00003	1943 - The Battle of Midway (USA)
RNES00004	250-in-1 (USA) (Unl)
RNES00005	3-D WorldRunner (USA)
RNES00006	720 Degrees (USA)
RNES00007	8 Eyes (USA)
RNES00008	8-Bit Xmas 2011 (USA) (Hack)
RNES00009	Abadox - The Deadly Inner War (USA)
RNES00010	Action 52 (USA) (Rev A) (Unl)
RNES00011	Addams Family, The - Pugsley's Scavenger Hunt (USA)
RNES00012	Addams Family, The (USA)
RNES00013	Advanced Dungeons & Dragons - Dragons of Flame (Japan)
RNES00014	Advanced Dungeons & Dragons - DragonStrike (USA)
RNES00015	Advanced Dungeons & Dragons - Heroes of the Lance (USA)
RNES00016	Advanced Dungeons & Dragons - Hillsfar (USA)
RNES00017	Advanced Dungeons & Dragons - Pool of Radiance (USA)
RNES00018	Adventure Island (USA)
RNES00019	Adventure Island II (USA)
RNES00020	Adventure Island III (USA)
RNES00021	Adventures in the Magic Kingdom (USA)
RNES00022	Adventures of Bayou Billy, The (USA)
RNES00023	Adventures of Dino Riki (USA)
RNES00024	Adventures of Gilligan's Island, The (USA)
RNES00025	Adventures of Lolo (USA)
RNES00026	Adventures of Lolo 2 (USA)
RNES00027	Adventures of Lolo 3 (USA)
RNES00028	Adventures of Rad Gravity, The (USA)
RNES00029	Adventures of Rocky and Bullwinkle and Friends, The (USA)
RNES00030	Adventures of Tom Sawyer (USA)
RNES00031	After Burner (USA) (Unl)
RNES00032	Air Fortress (USA)
RNES00033	Airball (Unknown)
RNES00034	Airwolf (USA)
RNES00035	Akumajou Special - Boku Dracula-kun (Japan)
RNES00036	Al Unser Jr. Turbo Racing (USA)
RNES00037	Aladdin (Europe)
RNES00038	Alfred Chicken (USA)
RNES00039	Alien 3 (USA)
RNES00040	Alien Syndrome (USA) (Unl)
RNES00041	All-Pro Basketball (USA)
RNES00042	Alpha Mission (USA)
RNES00043	Amagon (USA)
RNES00044	American Gladiators (USA)
RNES00045	Anticipation (USA)
RNES00046	Arch Rivals - A Basketbrawl! (USA)
RNES00047	Archon (USA)
RNES00048	Arkanoid (USA)
RNES00049	Arkista's Ring (USA)
RNES00050	Armed for Battle (USA) (Demo)
RNES00051	Asterix (Europe) (En,Fr,De,Es,It)
RNES00052	Astyanax (USA)
RNES00053	Athena (USA)
RNES00054	Athletic World (USA)
RNES00055	Attack of the Killer Tomatoes (USA)
RNES00056	Aussie Rules Footy (Australia)
RNES00057	Baby Boomer (USA) (Unl)
RNES00058	Back to the Future (USA)
RNES00059	Back to the Future Part II & III (USA)
RNES00060	Bad Dudes (USA)
RNES00061	Bad News Baseball (USA)
RNES00062	Bad Street Brawler (USA)
RNES00063	Balloon Fight (USA)
RNES00064	Banana Prince (Germany)
