RSNES0001	2020 Super Baseball (USA)
RSNES0002	3 Ninjas Kick Back (USA)
RSNES0003	7th Saga, The (USA)
RSNES0004	90 Minutes - European Prime Goal (Europe)
RSNES0005	A.S.P. - Air Strike Patrol (USA)
RSNES0006	Aaahh!!! Real Monsters (USA)
RSNES0007	ABC Monday Night Football (USA)
RSNES0008	ACME Animation Factory (USA)
RSNES0009	ActRaiser (Europe)
RSNES0010	ActRaiser (USA)
RSNES0011	ActRaiser 2 (Europe)
RSNES0012	ActRaiser 2 (USA)
RSNES0013	Addams Family Values (USA)
RSNES0014	Addams Family, The - Pugsley's Scavenger Hunt (USA) (Alt)
RSNES0015	Addams Family, The - Pugsley's Scavenger Hunt (USA)
RSNES0016	Addams Family, The (USA) (Alt)
RSNES0017	Addams Family, The (USA) (Alt2)
RSNES0018	Addams Family, The (USA)
RSNES0019	Adventures of Batman & Robin, The (USA)
RSNES0020	Adventures of Dr. Franken, The (USA)
RSNES0021	Adventures of Hourai High (USA)
RSNES0022	Adventures of Kid Kleets, The (USA)
RSNES0023	Adventures of Rocky and Bullwinkle and Friends, The (USA)
RSNES0024	Adventures of Yogi Bear (USA)
RSNES0025	Aero Fighters (USA)
RSNES0026	Aero the Acro-Bat (Europe)
RSNES0027	Aero the Acro-Bat (USA)
RSNES0028	Aero the Acro-Bat 2 (USA)
RSNES0029	Aerobiz (USA)
RSNES0030	Aerobiz Supersonic (USA)
RSNES0031	Air Cavalry (USA)
RSNES0032	Al Unser Jr.'s Road to the Top (USA)
RSNES0033	Aladdin (USA)
RSNES0034	Alcahest (USA) (Alt)
RSNES0035	Alcahest (USA)
RSNES0036	Alien 3 (Europe)
RSNES0037	Alien 3 (USA) (Alt)
RSNES0038	Alien 3 (USA)
RSNES0039	Alien vs. Predator (USA)
RSNES0040	American Gladiators (USA)
RSNES0041	American Tail, An - Fievel Goes West (USA)
RSNES0042	Andre Agassi Tennis (USA)
RSNES0043	Animaniacs (USA)
RSNES0044	Another World (Germany)
RSNES0045	Another World (USA)
RSNES0046	Appleseed (USA)
RSNES0047	Arabian Nights - Desert Spirit King (USA)
RSNES0048	Arcade's Greatest Hits - The Atari Collection 1 (USA)
RSNES0049	Arcade's Greatest Hits (USA)
RSNES0050	Arcana (USA)
RSNES0051	Archer Maclean's Super Dropzone (Europe)
RSNES0052	Ardy Lightfoot (USA)
RSNES0053	Arkanoid - Doh It Again (USA)
RSNES0054	Art of Fighting (USA)
RSNES0055	Asterix (Europe)
RSNES0056	Asterix (USA)
RSNES0057	Asterix & Obelix (Europe)
RSNES0058	Asterix & Obelix (USA)
RSNES0059	Axelay (Europe)
RSNES0060	Axelay (USA)
RSNES0061	B.O.B. (USA)
RSNES0062	Bahamut Lagoon (Japan)
RSNES0063	Bahamut Lagoon (USA) (Alt)
